687,1,405,379
993,1,405,379
1125,1,405,379
1262,1,405,379
1786,1,405,379
2489,1,405,379
2782,2,348,125,69
2832,2,348,125,69
4555,2,348,125,69
5127,2,348,125,69
5226,2,348,125,69
5237,2,348,125,69
6162,2,348,125,69
6387,2,348,125,69
6526,2,348,125,69
6577,2,348,125,69
6613,2,348,125,69
6665,2,348,125,69
6790,2,348,125,69
7152,2,348,125,69
7298,2,348,125,69
7492,2,348,125,69
7516,2,348,125,69
7847,2,348,125,69
166,0,202
1194,0,202
1197,0,202
1456,0,202
2173,0,202
2368,0,202
2603,0,202
2929,0,202
3808,0,202
4130,0,202
4218,0,202
4354,1,193,236
4440,1,193,236
4500,1,193,236
4584,1,193,236
4654,1,193,236
4777,1,193,236
5090,1,193,236
5123,1,193,236
6281,1,193,236
6619,1,193,236
7196,1,193,236
7480,1,193,236
7513,1,193,236
7620,1,193,236
7799,1,193,236
8700,1,193,236
8747,1,193,236
9307,1,193,236
9441,1,193,236
9509,1,193,236
9657,1,193,236
9786,1,193,236
10061,1,193,236
11150,2,220,335,218
12231,2,220,335,218
12235,2,220,335,218
12878,2,220,335,218
14144,2,262,298,286
14956,2,262,298,286
15081,2,262,298,286
15166,2,262,298,286
15347,2,262,298,286
15457,2,262,298,286
398,2,395,229,315
1208,2,372,236,363
1271,2,372,236,363
1668,2,372,236,363
2776,2,372,236,363
3263,2,372,236,363
3314,2,372,236,363
3687,2,372,236,363
4645,2,372,236,363
4737,2,395,269,315
4740,2,395,269,315
5307,2,395,269,315
5312,2,395,269,315
7118,2,395,269,315
7247,2,395,269,315
7980,2,395,269,315
8387,2,333,144,90
8820,2,333,144,90
8837,2,333,144,90
9407,2,333,144,90
10786,2,333,144,90
10810,2,333,144,90
10853,2,333,144,90
10901,2,333,144,90
11645,2,333,144,90
11759,2,333,144,90
11990,2,333,144,90
12280,2,333,144,90
12899,2,333,144,90
13002,2,333,144,90
13151,2,333,144,90
13275,2,333,144,90
13984,2,333,144,90
14434,2,372,209,324
15341,2,372,209,324
16116,2,372,209,324
16513,2,372,209,324
16934,2,372,209,324
18196,2,372,209,324
18260,2,372,209,324
18800,2,372,209,324
18970,2,372,209,324
19291,2,372,209,324
266,1,238,307
544,1,238,307
569,1,238,307
926,1,238,307
1178,1,238,307
1230,1,238,307
1895,1,238,307
2232,1,238,307
2340,1,238,307
2605,1,238,307
2799,1,238,307
2925,1,238,307
4133,1,238,307
4166,1,238,307
4704,1,238,307
4876,1,238,307
4907,1,238,307
5114,1,238,307
5200,1,238,307
6264,1,238,307
6745,1,238,307
6817,1,238,307
6927,1,238,307
7016,1,238,307
7538,1,238,307
8262,1,238,307
8460,1,238,307
8787,2,153,8,69
9178,2,153,8,69
9688,2,153,8,69
